,CCI,GDP_Growth,InterestRate,UnemploymentRate,InflationRate,WPSGX
1994-02-28,100.8334,3.9,3.25,6.6,2.5,4.099804878234863
1994-03-01,100.8226,3.9,3.34,6.5,2.5,4.099804878234863
1994-03-02,100.8226,3.9,3.34,6.5,2.5,4.099804878234863
1994-03-03,100.8226,3.9,3.34,6.5,2.5,4.099804878234863
1994-03-04,100.8226,3.9,3.34,6.5,2.5,4.073156356811523
1994-03-07,100.8226,3.9,3.34,6.5,2.5,4.073156356811523
1994-03-08,100.8226,3.9,3.34,6.5,2.5,4.073156356811523
1994-03-09,100.8226,3.9,3.34,6.5,2.5,4.073156356811523
1994-03-10,100.8226,3.9,3.34,6.5,2.5,4.073156356811523
1994-03-11,100.8226,3.9,3.34,6.5,2.5,4.0838165283203125
1994-03-14,100.8226,3.9,3.34,6.5,2.5,4.0838165283203125
1994-03-15,100.8226,3.9,3.34,6.5,2.5,4.0838165283203125
1994-03-16,100.8226,3.9,3.34,6.5,2.5,4.0838165283203125
1994-03-17,100.8226,3.9,3.34,6.5,2.5,4.0838165283203125
1994-03-18,100.8226,3.9,3.34,6.5,2.5,4.132193088531494
1994-03-21,100.8226,3.9,3.34,6.5,2.5,4.126042366027832
1994-03-22,100.8226,3.9,3.34,6.5,2.5,4.126042366027832
1994-03-23,100.8226,3.9,3.34,6.5,2.5,4.1051344871521
1994-03-24,100.8226,3.9,3.34,6.5,2.5,4.068646430969238
1994-03-25,100.8226,3.9,3.34,6.5,2.5,4.0592169761657715
1994-03-28,100.8226,3.9,3.34,6.5,2.5,4.057167053222656
1994-03-29,100.8226,3.9,3.34,6.5,2.5,4.003049373626709
1994-03-30,100.8226,3.9,3.34,6.5,2.5,3.9456512928009033
1994-03-31,100.8226,3.9,3.34,6.5,2.5,3.9518020153045654
1994-04-04,100.7928,5.5,3.56,6.4,2.4,3.9120328426361084
1994-04-05,100.7928,5.5,3.56,6.4,2.4,3.9891107082366943
1994-04-06,100.7928,5.5,3.56,6.4,2.4,3.9891107082366943
1994-04-07,100.7928,5.5,3.56,6.4,2.4,3.9891107082366943
1994-04-08,100.7928,5.5,3.56,6.4,2.4,3.9702515602111816
1994-04-11,100.7928,5.5,3.56,6.4,2.4,3.9702515602111816
1994-04-12,100.7928,5.5,3.56,6.4,2.4,3.9702515602111816
1994-04-13,100.7928,5.5,3.56,6.4,2.4,3.9702515602111816
1994-04-14,100.7928,5.5,3.56,6.4,2.4,3.9702515602111816
1994-04-15,100.7928,5.5,3.56,6.4,2.4,3.8882546424865723
1994-04-18,100.7928,5.5,3.56,6.4,2.4,3.8882546424865723
1994-04-19,100.7928,5.5,3.56,6.4,2.4,3.8882546424865723
1994-04-20,100.7928,5.5,3.56,6.4,2.4,3.8882546424865723
1994-04-21,100.7928,5.5,3.56,6.4,2.4,3.8882546424865723
1994-04-22,100.7928,5.5,3.56,6.4,2.4,3.955082893371582
1994-04-25,100.7928,5.5,3.56,6.4,2.4,3.9874696731567383
1994-04-26,100.7928,5.5,3.56,6.4,2.4,3.9874696731567383
1994-04-28,100.7928,5.5,3.56,6.4,2.4,3.9874696731567383
1994-04-29,100.7928,5.5,3.56,6.4,2.4,3.9870593547821045
1994-05-02,100.7301,5.5,4.01,6.1,2.3,3.9870593547821045
1994-05-03,100.7301,5.5,4.01,6.1,2.3,3.9870593547821045
1994-05-04,100.7301,5.5,4.01,6.1,2.3,3.9870593547821045
1994-05-05,100.7301,5.5,4.01,6.1,2.3,3.9870593547821045
1994-05-06,100.7301,5.5,4.01,6.1,2.3,3.917363405227661
1994-05-09,100.7301,5.5,4.01,6.1,2.3,3.917363405227661
1994-05-10,100.7301,5.5,4.01,6.1,2.3,3.917363405227661
1994-05-11,100.7301,5.5,4.01,6.1,2.3,3.876366138458252
1994-05-12,100.7301,5.5,4.01,6.1,2.3,3.8788256645202637
1994-05-13,100.7301,5.5,4.01,6.1,2.3,3.876366138458252
1994-05-16,100.7301,5.5,4.01,6.1,2.3,3.875135898590088
1994-05-17,100.7301,5.5,4.01,6.1,2.3,3.945242404937744
1994-05-18,100.7301,5.5,4.01,6.1,2.3,4.0087890625
1994-05-19,100.7301,5.5,4.01,6.1,2.3,4.030927658081055
1994-05-20,100.7301,5.5,4.01,6.1,2.3,4.005099773406982
1994-05-23,100.7301,5.5,4.01,6.1,2.3,3.9739413261413574
1994-05-24,100.7301,5.5,4.01,6.1,2.3,3.9940290451049805
1994-05-25,100.7301,5.5,4.01,6.1,2.3,4.0063300132751465
1994-05-26,100.7301,5.5,4.01,6.1,2.3,4.036667346954346
1994-05-27,100.7301,5.5,4.01,6.1,2.3,4.047326564788818
1994-05-31,100.7301,5.5,4.01,6.1,2.3,4.060856342315674
1994-06-01,100.6233,5.5,4.25,6.1,2.5,4.058806419372559
1994-06-02,100.6233,5.5,4.25,6.1,2.5,4.04691743850708
1994-06-03,100.6233,5.5,4.25,6.1,2.5,4.073156356811523
1994-06-06,100.6233,5.5,4.25,6.1,2.5,4.0694661140441895
1994-06-07,100.6233,5.5,4.25,6.1,2.5,4.067007064819336
1994-06-08,100.6233,5.5,4.25,6.1,2.5,4.049376487731934
1994-06-09,100.6233,5.5,4.25,6.1,2.5,4.028058052062988
1994-06-10,100.6233,5.5,4.25,6.1,2.5,4.011658668518066
1994-06-13,100.6233,5.5,4.25,6.1,2.5,4.005918979644775
1994-06-14,100.6233,5.5,4.25,6.1,2.5,4.013709545135498
1994-06-15,100.6233,5.5,4.25,6.1,2.5,3.9809091091156006
1994-06-16,100.6233,5.5,4.25,6.1,2.5,4.003870010375977
1994-06-17,100.6233,5.5,4.25,6.1,2.5,3.9677915573120117
1994-06-20,100.6233,5.5,4.25,6.1,2.5,3.943192481994629
1994-06-21,100.6233,5.5,4.25,6.1,2.5,3.903014898300171
1994-06-22,100.6233,5.5,4.25,6.1,2.5,3.9399118423461914
1994-06-23,100.6233,5.5,4.25,6.1,2.5,3.897684335708618
1994-06-24,100.6233,5.5,4.25,6.1,2.5,3.832087516784668
1994-06-27,100.6233,5.5,4.25,6.1,2.5,3.889894962310791
1994-06-28,100.6233,5.5,4.25,6.1,2.5,3.885385036468506
1994-06-29,100.6233,5.5,4.25,6.1,2.5,3.903423309326172
1994-06-30,100.6233,5.5,4.25,6.1,2.5,3.844796657562256
1994-07-01,100.5505,2.4,4.26,6.1,2.8,3.8911244869232178
1994-07-05,100.5505,2.4,4.26,6.1,2.8,3.8792355060577393
1994-07-06,100.5505,2.4,4.26,6.1,2.8,3.8882546424865723
1994-07-07,100.5505,2.4,4.26,6.1,2.8,3.905884027481079
1994-07-08,100.5505,2.4,4.26,6.1,2.8,3.911623954772949
1994-07-11,100.5505,2.4,4.26,6.1,2.8,3.891944408416748
1994-07-12,100.5505,2.4,4.26,6.1,2.8,3.888664484024048
1994-07-13,100.5505,2.4,4.26,6.1,2.8,3.8911244869232178
1994-07-14,100.5505,2.4,4.26,6.1,2.8,3.9296631813049316
1994-07-15,100.5505,2.4,4.26,6.1,2.8,3.9284331798553467
1994-07-18,100.5505,2.4,4.26,6.1,2.8,3.9218738079071045
1994-07-19,100.5505,2.4,4.26,6.1,2.8,3.9046542644500732
1994-07-20,100.5505,2.4,4.26,6.1,2.8,3.872675895690918
1994-07-21,100.5505,2.4,4.26,6.1,2.8,3.891535758972168
1994-07-22,100.5505,2.4,4.26,6.1,2.8,3.853405714035034
1994-07-25,100.5505,2.4,4.26,6.1,2.8,3.866117000579834
1994-07-26,100.5505,2.4,4.26,6.1,2.8,3.8640658855438232
1994-07-27,100.5505,2.4,4.26,6.1,2.8,3.8513567447662354
1994-07-28,100.5505,2.4,4.26,6.1,2.8,3.873905897140503
1994-07-29,100.5505,2.4,4.26,6.1,2.8,3.9263832569122314
1994-08-01,100.5967,2.4,4.47,6.0,2.9,3.953441858291626
1994-08-02,100.5967,2.4,4.47,6.0,2.9,3.9403223991394043
1994-08-03,100.5967,2.4,4.47,6.0,2.9,3.932943105697632
1994-08-04,100.5967,2.4,4.47,6.0,2.9,3.8878438472747803
1994-08-05,100.5967,2.4,4.47,6.0,2.9,3.8935842514038086
1994-08-08,100.5967,2.4,4.47,6.0,2.9,3.905473232269287
1994-08-09,100.5967,2.4,4.47,6.0,2.9,3.917363405227661
1994-08-10,100.5967,2.4,4.47,6.0,2.9,3.9456512928009033
1994-08-11,100.5967,2.4,4.47,6.0,2.9,3.9317128658294678
1994-08-12,100.5967,2.4,4.47,6.0,2.9,3.955902576446533
1994-08-15,100.5967,2.4,4.47,6.0,2.9,3.9530320167541504
1994-08-16,100.5967,2.4,4.47,6.0,2.9,4.013709545135498
1994-08-17,100.5967,2.4,4.47,6.0,2.9,4.03953742980957
1994-08-18,100.5967,2.4,4.47,6.0,2.9,4.044867992401123
